label,centroid
15,"[-2.19022126  1.14497213 -1.43004835  0.48709431 -2.55802138  1.09682627
 -1.61506101 -1.600328    2.254346   -0.34478951  2.4566165   1.36833564
  3.10374938  0.81328883  1.4586917  -1.6088062  -0.4810304  -2.11750631
  0.75572513 -0.94187676 -2.69940754 -1.41260204  0.62615837  1.73886482
 -1.58348083 -0.03086402 -0.70028135  2.68466349 -0.94293797 -0.96699013
  3.06743995 -2.75425558]"
16,"[ 2.12578182  2.90757751 -2.77545261 -0.0839835   0.04929125 -1.33442364
  2.37038841  1.75294781 -1.9236887  -2.77121391 -1.35756569  1.51618643
  0.54707003  1.13073606  2.68071651  1.06233845 -2.832724   -2.6149765
  1.69430332 -2.8382021   1.87112942 -2.34156799 -1.72458725  2.18099461
  0.72940569 -2.04003696  2.34374428 -1.32453823  2.46766548 -1.62092552
 -1.19055376  2.08511772]"
17,"[ 1.18646586 -0.91013438  0.93949282 -1.76947141  1.45785785  2.5150032
  1.30105484  2.633003   -1.14448488  0.64605266 -2.37236452 -1.86075866
 -1.88977122 -3.07169247 -0.52353936 -0.19051638  0.8657586  -0.70993596
 -1.4972409   1.39064574  2.44499898  2.47352886  0.41263089 -1.93491602
  3.67817187  1.00878012  0.37093791 -2.36586738  0.27418932  3.41824508
 -0.4934423   0.68370342]"
18,"[ 1.84274983  0.92751437 -1.09623289 -2.94728422 -0.28195807  2.27704239
  1.94464207  3.30971026 -1.3028574  -1.49312985 -1.26496649 -0.18780294
  0.19068389 -1.386464    2.12320852  0.49832433 -0.97517502 -3.44408512
 -0.19579519 -0.87458074  1.40737391 -0.01723494 -1.44068503  0.24527991
  2.78540993 -0.60501885  1.03480661 -1.87814045  2.02267861  1.42839766
  0.51321363  0.2500124 ]"
19,"[-8.97176862e-01  3.91706258e-01 -6.29521132e-01 -1.35350311e+00
 -1.39983559e+00  2.72432661e+00 -5.56489646e-01  6.51861355e-02
  1.20040357e+00  2.09924150e-02  1.17555916e+00  2.28165522e-01
  1.49872720e+00 -9.02622938e-01  9.66469228e-01 -1.17894661e+00
  2.25923717e-01 -2.02724791e+00 -2.32756272e-01  7.03842379e-05
 -1.21803701e+00 -6.20112121e-02  2.30517507e-01  5.23558974e-01
  4.26623881e-01  4.79398608e-01 -5.01181006e-01  7.79653788e-01
 -4.28046346e-01  7.93634713e-01  2.81757879e+00 -2.46834826e+00]"
20,"[-2.02692154  0.02499707 -0.30727577 -0.43509581 -1.45241384  2.70030083
 -1.53538546 -1.21830392  2.12331748  0.7104394   1.95496904  0.09169221
  1.64871703 -0.82651106  0.31325986 -1.89553378  0.769235   -1.04666195
 -0.38587347  0.41941038 -2.08997832  0.09861043  1.08531002  0.37171088
 -0.48459751  1.03239676 -1.12480001  1.70717053 -1.37993573  0.64948545
  3.39661683 -3.29758048]"
21,"[-3.20692421 -2.8920181   2.75915209  0.79967704  1.82594561  2.71326253
 -2.80735665 -2.42939736  3.1698055   3.28491211 -0.3586001  -3.02005324
 -1.96861654 -4.04120329 -2.77902768 -3.54171798  3.61541361  2.12840203
 -2.92274839  3.47130869 -0.08567412  3.66959939  3.26201254 -3.09971391
 -0.08879026  3.75084743 -3.16033685  1.87663599 -3.44971887  3.80707197
  1.16961066 -1.80132316]"
23,"[ 2.27369734  1.71222833 -1.94965539 -2.34638948 -0.19202465  0.89921034
  2.46730687  3.63997063 -1.7476478  -2.47133284 -1.55263827  0.23994295
  0.39996393 -0.56948662  2.95438062  0.92351811 -2.01378456 -3.91647926
  0.39163017 -2.01063274  1.83814225 -0.94466085 -1.87176983  0.88467473
  2.45415086 -1.27794677  1.61313306 -1.87854209  2.93683536  0.49978839
 -0.42465951  1.36184839]"
24,"[ 3.36923483  4.10919488 -2.70804812  1.49204055  2.60984736 -3.11439348
  3.16937687  0.44386026 -3.16994012 -2.50757284 -3.48770573  2.71222571
 -1.48117978  2.43832298  1.48288959  2.55620873 -2.81368023 -0.5164056
  3.35214565 -2.28694053  4.18993975 -2.53561816 -3.14772299  2.83541671
  0.04366605 -3.38926266  3.44153694 -2.5644183   1.91497819 -2.61944331
 -3.44416477  3.20108895]"
25,"[-1.00310672  1.01964131 -1.27434074 -0.8423736  -1.99491571  1.8815131
 -0.59567232 -0.12326003  1.26686986 -0.57065872  1.45767805  0.90852321
  2.2888339  -0.02190809  1.61030649 -1.04568213 -0.4643755  -2.62053935
  0.38283426 -0.76727323 -1.56450653 -0.89223706 -0.00849839  1.27861461
 -0.16014182 -0.09415606 -0.25964129  1.30044655 -0.16501312 -0.08141223
  2.68261125 -2.21783885]"
