label,centroid
131,"[ 2.57891226  1.12572682 -0.44786823 -0.5001213   1.97653604 -0.26483798
  2.46018147  2.33294177 -2.42361808 -0.68316203 -3.17541218 -0.19236071
 -1.84640098 -0.83299929  0.27814665  1.11993551 -0.84984207 -0.73262125
  0.35439602 -0.16655502  3.672225    0.49641025 -0.9799493  -0.12201419
  2.71529818 -0.86809397  1.98115063 -2.89761758  1.3350656   1.02372634
 -2.20084095  2.6008594 ]"
132,"[-1.45390972  2.404463   -2.74226995  1.37401002 -2.63701457 -1.04280435
 -0.79738685 -1.112261    1.54919003 -1.85197387  1.93158537  2.24829126
  3.63644705  2.19445678  2.7898786  -0.88138722 -2.11227885 -3.05167832
  1.82245205 -2.6469638  -1.99870952 -2.81248523 -0.11004167  2.83229951
 -2.03066266 -1.18597917  0.24671516  2.75315537  0.36118957 -2.43185819
  1.4792211  -0.90436585]"
133,"[ 3.73589859  4.17463226 -3.24119415  0.87573805  1.97286415 -2.98985157
  3.74587746  1.45028658 -3.56139908 -3.26682777 -3.17074337  2.31413727
 -1.00114412  1.94073582  2.27564602  2.14296303 -3.48213387 -1.448874
  2.85273552 -3.12717972  4.08311615 -3.0008419  -2.75313263  2.96426582
  0.61852922 -3.08589897  3.86957321 -2.85817165  2.8537674  -2.68232708
 -3.03111076  3.8365387 ]"
134,"[ 2.13616562  1.60467866 -1.83724437 -2.42568252 -0.28391199  1.12435992
  2.31336302  3.52000315 -1.60264812 -2.31016226 -1.43314507  0.21492456
  0.45722333 -0.66073238  2.84896671  0.81892126 -1.84462155 -3.88734257
  0.31619128 -1.83658589  1.68583545 -0.83579131 -1.79491178  0.83126994
  2.43368889 -1.17417852  1.48568658 -1.7866745   2.7580544   0.61188647
 -0.20420727  1.11589017]"
135,"[ 0.43991675  0.17955518 -0.356509   -2.59333883 -0.61794015  3.26693126
  0.5566928   1.63049276  0.06077639 -0.21484263 -0.06328542 -0.36554054
  0.44131432 -1.76241016  1.02444404 -0.49515271  0.23536292 -2.36121641
 -0.64044966  0.22692095  0.13144885  0.53071216 -0.42341563 -0.08911547
  1.92153195  0.38667403 -0.03839523 -0.7613383   0.439147    1.73599039
  1.99945777 -1.55214991]"
136,"[-0.0590512   1.5425944  -1.82158763 -1.17256737 -1.79744479  1.29527321
  0.28824053  0.99594161  0.42533264 -1.43094902  0.67202168  1.03965085
  2.17416585  0.1712474   2.41723226 -0.44050636 -1.24060338 -3.47223434
  0.64711189 -1.48022118 -0.69489415 -1.27717756 -0.72210496  1.54711049
  0.41878398 -0.71354491  0.40298446  0.60287164  0.9301122  -0.23488881
  1.7154555  -1.03483289]"
137,"[ 2.1976552   1.66962969 -1.90601552 -2.37507534 -0.25211224  0.99666446
  2.38089156  3.55846405 -1.66199636 -2.39894223 -1.48095226  0.24263771
  0.44922289 -0.59537143  2.9127171   0.86892962 -1.93765855 -3.91537595
  0.36991221 -1.93174052  1.75055683 -0.90765196 -1.83406317  0.87804955
  2.42183709 -1.23093462  1.5448401  -1.80939043  2.8464756   0.5379191
 -0.31384784  1.24014592]"
138,"[-2.17359755  0.95667945 -1.24529461  0.32356425 -2.38171048  1.39425583
 -1.6105089  -1.54287448  2.24392293 -0.16189949  2.38635746  1.15603222
  2.86606818  0.53140038  1.26494522 -1.67051459 -0.26377663 -1.94375882
  0.56036373 -0.70720918 -2.61475321 -1.15769789  0.70988384  1.51357863
 -1.39799474  0.15586687 -0.77679469  2.52760959 -1.02722626 -0.6903506
  3.15431247 -2.87712368]"
139,"[ 0.64540752 -0.80637479  0.76152047 -2.26230415  0.68744302  3.30030282
  0.72864644  2.00242535 -0.42517873  0.69543608 -1.33177956 -1.50381962
 -1.11629653 -2.93139998 -0.24192174 -0.54404843  1.08620771 -1.08645272
 -1.43027067  1.36240435  1.39277013  2.06105804  0.29666974 -1.47919941
  2.9770724   1.09440454 -0.10343102 -1.63388968 -0.01752344  3.10785389
  0.78936251 -0.60733306]"
141,"[ 1.85964501  1.12408435 -1.31757748 -2.89481878 -0.40933558  2.05370688
  1.95323241  3.30678558 -1.27959204 -1.70163167 -1.1957556  -0.03054279
  0.39056006 -1.17009604  2.37114453  0.54688781 -1.18051171 -3.67897201
 -0.05519377 -1.12204051  1.35674942 -0.28701878 -1.57691324  0.47206733
  2.61334181 -0.76201671  1.08737516 -1.74739194  2.19799924  1.19106472
  0.481673    0.33975196]"
142,"[-0.59233992  0.54279814 -0.77569955 -1.55731297 -1.42039517  2.65827751
 -0.27899441  0.43124901  0.93676288 -0.2269712   0.97315509  0.30586379
  1.50315489 -0.8593812   1.20996475 -0.97795732  0.00937704 -2.33916964
 -0.14509085 -0.18842411 -0.99798502 -0.17597088 -0.02813408  0.61614609
  0.65060009  0.28043614 -0.30134937  0.54560511 -0.12330487  0.77654478
  2.63372721 -2.20694378]"
143,"[-2.2592232  -1.68876833  1.50818757 -0.51594251  0.42678778  3.58490655
 -1.89846359 -1.36993162  2.31992931  2.22777754  0.70212592 -1.80760697
 -0.58222875 -2.9696707  -1.51736192 -2.60063048  2.54309845  0.75769191
 -1.95456191  2.31663267 -0.8931235   2.31712144  2.09566079 -1.73203315
  0.38181428  2.60633284 -2.10043975  1.1394139  -2.32492312  2.75923747
  2.58636302 -2.92729433]"
144,"[ 2.41164706  2.08210808 -2.34389295 -1.75285928 -0.04407856 -0.02479451
  2.68985119  3.63384662 -1.95589755 -2.93413477 -1.71043142  0.45738812
  0.43271614 -0.07458625  3.26188606  1.12662158 -2.54726878 -3.91118528
  0.74726573 -2.60345459  2.05378442 -1.41678432 -1.97740976  1.17520115
  2.14087583 -1.59969424  1.90312985 -1.798293    3.30102914 -0.08163868
 -1.05252537  2.01894753]"
145,"[ 2.01535106  3.17757773 -2.13605046  1.14159179  1.33615828 -2.1442349
  1.91656804  0.23332472 -1.79703748 -1.78207242 -2.13975573  2.2935946
 -0.45408589  2.06619692  1.39192736  1.79022455 -2.10285568 -0.92242426
  2.68087792 -1.80663669  2.61835933 -1.99665213 -2.3733561   2.27276325
 -0.14173768 -2.62963891  2.23850942 -1.26089633  1.24137151 -1.95491648
 -2.12092781  1.75847685]"
146,"[ 2.23746014  3.68146467 -1.25031388  2.72422838  3.86150098 -3.08115816
  1.57970309 -1.7899636  -2.0049293  -0.58436161 -4.05073023  3.40816545
 -2.45979118  3.44431496 -0.41429955  3.44656706 -1.01495552  1.52692652
  4.29342175 -0.11892877  4.19043207 -1.17457652 -3.94072843  2.2698133
 -1.20883274 -3.93486738  2.13548517 -1.68363702 -0.35242066 -2.16163945
 -4.22260714  1.39553308]"
147,"[-3.08291551e+00 -2.75060185e+00  2.61699989e+00  6.18308396e-01
  1.65989735e+00  2.85932747e+00 -2.68874947e+00 -2.28427099e+00
  3.05255777e+00  3.16262942e+00 -2.35361756e-01 -2.88636755e+00
 -1.81561479e+00 -3.93238405e+00 -2.63898280e+00 -3.42375083e+00
  3.50066838e+00  1.96957435e+00 -2.81604579e+00  3.34212231e+00
 -1.74318767e-01  3.52406686e+00  3.12028303e+00 -2.94924001e+00
 -3.19505055e-03  3.61633926e+00 -3.03020515e+00  1.76554683e+00
 -3.31229713e+00  3.70226200e+00  1.35286925e+00 -1.95670406e+00]"
149,"[ 1.65565681  2.3128706  -2.62921257 -1.0274065  -0.58797903 -0.38940079
  2.05370712  2.72757206 -1.28280582 -2.89827843 -1.02112741  0.93026056
  1.16887846  0.51633768  3.36852379  0.73609433 -2.66498451 -3.91415253
  1.08749466 -2.82040501  1.27544785 -1.86520634 -1.66664658  1.66371307
  1.25101109 -1.62802334  1.68590431 -0.85210056  2.84284401 -0.70156307
 -0.62565522  1.56113262]"
150,"[-2.70503935 -2.31134931  2.16895016  0.08403907  1.1509587   3.24436753
 -2.33154943 -1.85167021  2.71067954  2.77473557  0.13987131 -2.45845319
 -1.32459322 -3.57368056 -2.18487244 -3.06404491  3.12540606  1.46046223
 -2.47621873  2.93074089 -0.44807766  3.0528744   2.67768016 -2.46650319
  0.22508332  3.19634974 -2.632908    1.45218003 -2.88552174  3.35542459
  1.88661679 -2.39011625]"
151,"[ 0.26073098 -0.42643791  0.2998057  -2.3977356  -0.02975453  3.49560785
  0.37836665  1.44794655  0.11707104  0.43233371 -0.40934142 -0.94642884
 -0.25960585 -2.3903873   0.26547092 -0.73930162  0.87063086 -1.53632045
 -1.09496498  0.937518    0.46175441  1.32722664  0.07293455 -0.79472506
  2.16878891  0.9232927  -0.30195206 -0.92975891 -0.04409252  2.39115572
  1.72764206 -1.46552956]"
152,"[ 0.88540928  2.06640991 -2.37773037 -1.06629928 -1.24258439  0.25034438
  1.25077947  1.98125871 -0.4913133  -2.34582265 -0.24792155  1.07254799
  1.77380149  0.469112    3.0987711   0.22444427 -2.13327185 -3.91159852
  0.95934232 -2.32762512  0.37673072 -1.71216806 -1.30556051  1.71919076
  0.83423241 -1.30546427  1.13610005 -0.11905482  2.06935056 -0.57102633
  0.36711816  0.48128319]"
153,"[ 2.40551701  3.76884206 -1.44920321  2.60874995  3.74243814 -3.1305299
  1.79926498 -1.54442328 -2.17584737 -0.82898069 -4.00363724  3.3593199
 -2.36468082  3.35180551 -0.18903911  3.35125874 -1.25905228  1.31271235
  4.21401102 -0.39982245  4.22321969 -1.37357104 -3.86745368  2.37387791
 -1.0742865  -3.89278694  2.33474774 -1.81646799 -0.08017369 -2.26044704
 -4.15497872  1.65226435]"
154,"[ 0.87319763  2.92464478  0.28225185  3.54985748  4.58118195 -2.61374725
 -0.1204974  -3.66717468 -0.6716153   1.27352242 -4.18628021  3.68470764
 -3.0765274   4.03477966 -2.14245483  4.01462372  0.84189156  3.19765411
  4.74045685  1.97661087  3.75711365  0.30891584 -4.305401    1.43840714
 -2.23768631 -4.11063232  0.60774193 -0.62841393 -2.4625177  -1.42578003
 -4.53433807 -0.5981168 ]"
155,"[-0.43622208  2.219767   -2.55880254  0.19421269 -2.05777537 -0.31415574
  0.09148204  0.28676376  0.67910951 -2.02277527  0.99475403  1.71442833
  2.83107173  1.33955485  2.93070119 -0.44590747 -2.06781807 -3.50108744
  1.39843903 -2.44607366 -0.99947605 -2.26640727 -0.64597371  2.31954269
 -0.70100098 -1.19108187  0.61563543  1.4644338   1.07864812 -1.51703122
  1.13641663 -0.42231944]"
156,"[-1.34600737  2.4378526  -2.77525226  1.33100159 -2.58569707 -1.08157998
 -0.6943845  -0.97890576  1.44201753 -1.92010209  1.8316137   2.23225918
  3.57618878  2.18298897  2.83730337 -0.81289297 -2.17123454 -3.09800473
  1.82788354 -2.70069679 -1.8811062  -2.82060262 -0.17278809  2.82436948
 -1.939163   -1.23225753  0.31623343  2.64687739  0.47126229 -2.41993054
  1.37134222 -0.78445254]"
157,"[-0.6473879   0.72648548 -0.9656565  -1.38101533 -1.59340701  2.40181822
 -0.31257169  0.35081785  0.97605683 -0.39365847  1.0659928   0.50281087
  1.74204007 -0.59803766  1.38928997 -0.949727   -0.18682875 -2.50388718
  0.03446502 -0.4128016  -1.11489083 -0.41987484 -0.08094181  0.84065078
  0.45672938  0.11897724 -0.24262855  0.71995769 -0.05988532  0.51473057
  2.59958649 -2.14456603]"
158,"[ 1.72336681  3.43735768 -0.67305719  3.0953422   4.18718808 -2.94493807
  0.92470507 -2.56847382 -1.50723281  0.13892538 -4.14232547  3.57116171
 -2.7297064   3.73396712 -1.10462445  3.71082834 -0.30085831  2.21787937
  4.52821761  0.70053746  4.06263263 -0.62140538 -4.1312341   1.986155
 -1.64379751 -4.05611214  1.56702012 -1.28831629 -1.19086882 -1.91575637
 -4.3902585   0.62335073]"
159,"[-2.22630146 -1.64659142  1.46428094 -0.55151373  0.38397903  3.59764756
 -1.8650535  -1.33409365  2.2889463   2.18766057  0.73133199 -1.76758435
 -0.5365573  -2.92868817 -1.47085712 -2.56621775  2.50107704  0.71159204
 -1.92002833  2.2732936  -0.91382411  2.26917067  2.05677561 -1.68593457
  0.39236207  2.56416321 -2.06203566  1.11605119 -2.28277283  2.71947608
  2.61986084 -2.94940162]"
160,"[ 1.7406702   0.44372404 -0.57057389 -2.71317323  0.18625389  2.44706742
  1.83907048  3.15683015 -1.31733219 -0.92013041 -1.53016774 -0.60732086
 -0.38119725 -1.84922743  1.3940115   0.35685281 -0.48178717 -2.68951035
 -0.51373605 -0.25427983  1.67008018  0.63578943 -0.96800884 -0.31548103
  3.08224456 -0.16529755  0.90340575 -2.10464843  1.56743638  1.95488977
  0.32518343  0.28035684]"
161,"[ 3.25511169  4.10906343 -2.54272239  1.70407917  2.83543913 -3.1690349
  2.98670812  0.10756464 -3.05213584 -2.26533631 -3.61104461  2.85934399
 -1.65015842  2.62259206  1.22314256  2.70773906 -2.60033466 -0.20574988
  3.53743399 -2.01204201  4.24718106 -2.39246147 -3.30022037  2.80879187
 -0.15266909 -3.50875411  3.31481786 -2.47661738  1.60906047 -2.61015492
 -3.59688839  2.99731642]"
162,"[-0.16636731  1.02563139 -1.26650634 -1.60471564 -1.62349906  2.14400379
  0.1201555   0.90502504  0.55528644 -0.8617093   0.7197942   0.64773112
  1.78789021 -0.43571362  1.82718732 -0.59914351 -0.60398285 -3.03954051
  0.2190229  -0.78422422 -0.76713811 -0.67720266 -0.48841462  1.04787746
  0.72928678 -0.25962285  0.09248858  0.39368993  0.48487605  0.3943378
  2.19743699 -1.62706067]"
164,"[ 1.30159616 -0.88005698  0.91459739 -1.64822543  1.55652785  2.33288813
  1.40291715  2.71935439 -1.28125334  0.6349259  -2.46720648 -1.88779664
 -1.97896838 -3.00093126 -0.57185644 -0.10223876  0.78785926 -0.59914434
 -1.46152258  1.35728145  2.58780837  2.46647906  0.43097079 -1.950122
  3.77111435  0.96474946  0.48974949 -2.5020957   0.3693701   3.38660693
 -0.69051367  0.8950631 ]"
166,"[ 3.50345701  4.14846488 -2.87395029  1.32125686  2.45512211 -3.0952963
  3.36064664  0.73191564 -3.31186609 -2.73877065 -3.42522632  2.61207311
 -1.36502973  2.30124283  1.71067193  2.45140637 -3.01870324 -0.77373493
  3.22700747 -2.53552134  4.19117871 -2.67949362 -3.05012781  2.88722857
  0.21276696 -3.31724975  3.59133305 -2.67472256  2.19068034 -2.65075863
 -3.34991747  3.40944313]"
167,"[ 2.49602699  2.13153791 -2.41785908 -1.66497171  0.06464032 -0.18322638
  2.78080463  3.68810344 -2.03567553 -3.02270794 -1.78618121  0.45393872
  0.35624886 -0.02517661  3.29747248  1.17553043 -2.65141487 -3.87313461
  0.79881847 -2.71061397  2.14841366 -1.49138033 -2.01041126  1.20212293
  2.14253759 -1.63104403  1.97348869 -1.85883331  3.41500187 -0.15433335
 -1.19706798  2.17367482]"
168,"[ 2.60881846  2.24434555 -2.49955187 -1.62637624  0.11374492 -0.28296805
  2.89561998  3.70389062 -2.1646074  -3.10264775 -1.86791376  0.52460811
  0.31468258  0.04085582  3.32599118  1.23413742 -2.73977286 -3.86009136
  0.87049263 -2.78873323  2.25014161 -1.57965369 -2.07005685  1.28779723
  2.13926282 -1.71713136  2.09532018 -1.95417585  3.48148145 -0.26168303
 -1.28149401  2.28513644]"
169,"[ 1.7496788   0.31364751 -0.42140598 -2.52774773  0.4146337   2.30401478
  1.86119003  3.17829628 -1.38944864 -0.79695745 -1.75101833 -0.77046137
 -0.62291794 -1.97161636  1.19353886  0.3391645  -0.39956796 -2.45340977
 -0.61294708 -0.11972107  1.88702545  0.84647121 -0.81297293 -0.51997828
  3.201231   -0.06753856  0.913764   -2.2028841   1.4936429   2.10878677
  0.04694961  0.52006402]"
170,"[ 3.71706905  3.97197528 -3.3849466   0.38785415  1.57539652 -2.64944866
  3.82269145  2.04432944 -3.54173243 -3.53084369 -2.90791285  1.99820691
 -0.72772842  1.57865941  2.71366297  1.95242185 -3.66794356 -2.04070938
  2.48782153 -3.43535099  3.80239797 -3.04499746 -2.5824993   2.81113505
  0.96535359 -2.87352096  3.76476164 -2.83239799  3.28883681 -2.41366488
 -2.71942068  3.85740875]"
171,"[-2.31141258 -1.77552359  1.60258826 -0.44946744  0.52853615  3.55783143
 -1.95052727 -1.42144075  2.36332563  2.30270868  0.6193105  -1.90613789
 -0.69009018 -3.06303593 -1.61114673 -2.65941511  2.6284544   0.85282306
 -2.03303248  2.40558422 -0.82409956  2.42754271  2.17301816 -1.84097165
  0.37766776  2.68733402 -2.17147656  1.16814267 -2.39448812  2.85375229
  2.49058143 -2.85660849]"
172,"[ 3.56028921  3.66304259 -3.38165699 -0.09799672  1.21832007 -2.18236039
  3.75688067  2.5886501  -3.35371884 -3.6525657  -2.68709634  1.63721813
 -0.47451323  1.21818118  3.03976406  1.79527092 -3.67690173 -2.59337078
  2.11289735 -3.50864965  3.49134064 -2.85557591 -2.48950993  2.53624188
  1.31266447 -2.63528737  3.51490784 -2.74415744  3.5518074  -1.97861619
 -2.45009006  3.68232242]"
173,"[-3.55536325 -3.27838758  3.14138856  1.32684388  2.27641623  2.26614645
 -3.13868309 -2.85176554  3.49638678  3.61589953 -0.69013401 -3.37189935
 -2.37821742 -4.30947502 -3.15684665 -3.86388818  3.91423502  2.57081604
 -3.19628564  3.81669243  0.14098828  4.04819504  3.65513953 -3.49623295
 -0.35940657  4.1129057  -3.51530207  2.19926795 -3.82723501  4.06048241
  0.65047178 -1.35736006]"
174,"[-1.86117021  2.05583283 -2.37272019  1.27281639 -2.78007232 -0.49817556
 -1.22171066 -1.52478156  1.94775924 -1.36031682  2.29971865  2.10874516
  3.68267565  1.94410209  2.38531899 -1.1784907  -1.62711086 -2.75017888
  1.57569499 -2.14987183 -2.45185172 -2.49574592  0.18849209  2.6144696
 -2.14299269 -0.85072455 -0.11984359  2.98126129 -0.18254411 -2.15627813
  2.08465043 -1.59623185]"
175,"[-1.77995262 -0.78430519  0.54297517 -1.01912422 -0.55402476  3.62553813
 -1.388274   -0.88252875  1.89164747  1.42527835  1.44194082 -0.85189578
  0.48678656 -1.96874428 -0.54556942 -1.99489428  1.62398923 -0.18745894
 -1.16871541  1.35620918 -1.48428879  1.19214757  1.36219711 -0.65535113
  0.33778941  1.74069481 -1.38165385  0.9261109  -1.60433489  1.76901385
  3.33598099 -3.41290843]"
176,"[-2.12197944  0.40666457 -0.69760174 -0.1070518  -1.84873759  2.17858344
 -1.59453769 -1.37986391  2.20398678  0.36381967  2.16052094  0.53352322
  2.166696   -0.26808963  0.7015981  -1.83127085  0.3533954  -1.4133678
  0.0035568  -0.0396252  -2.33813019 -0.42111897  0.94871606  0.84777527
 -0.87964944  0.68719987 -0.99694536  2.07469906 -1.25733838  0.09790162
  3.33346422 -3.16305135]"
177,"[-2.07489274  0.21219756 -0.49832197 -0.26926925 -1.64930846  2.43877775
 -1.56552939 -1.3018042   2.16467476  0.54167076  2.05557442  0.31482983
  1.90443576 -0.55065909  0.50268893 -1.86379259  0.5631159  -1.22720684
 -0.19073898  0.19342546 -2.21166524 -0.15937092  1.01670335  0.60728762
 -0.68116478  0.86331576 -1.06167759  1.88917281 -1.32383997  0.3761676
  3.36585132 -3.23010115]"
178,"[ 2.8020316   3.92806313 -1.92309293  2.24613641  3.39858176 -3.1825832
  2.33334281 -0.85341081 -2.57228574 -1.44454644 -3.86588842  3.16682157
 -2.09251837  3.05247428  0.40667014  3.08338165 -1.84847294  0.6956491
  3.95118921 -1.0940459   4.26864589 -1.82108203 -3.64431485  2.5763451
 -0.68340969 -3.73825802  2.78396953 -2.12464783  0.63527757 -2.43245836
 -3.94982113  2.27064341]"
179,"[-0.50688553  1.65297699 -1.94360619 -0.65861616 -2.0841135   0.97790213
 -0.09115527  0.40414987  0.81139154 -1.3827055   1.09457369  1.29945936
  2.5707468   0.55102625  2.41441746 -0.65189977 -1.29314995 -3.34731064
  0.84604759 -1.60376797 -1.16169844 -1.53604603 -0.50545092  1.80395832
 -0.16388606 -0.72690744  0.25907092  1.17577066  0.63341537 -0.64935536
  1.90485191 -1.26564207]"
180,"[ 3.67720032  3.8839212  -3.40925873  0.21631807  1.46101776 -2.49841202
  3.81579041  2.25429993 -3.48210236 -3.59633026 -2.84300751  1.88315506
 -0.633908    1.45933334  2.85876068  1.89912689 -3.69593842 -2.26430222
  2.36900543 -3.48770721  3.70590302 -2.99862854 -2.56933685  2.73444061
  1.08980705 -2.80105499  3.6915036  -2.80672028  3.40795715 -2.27136185
 -2.63043732  3.81248047]"
181,"[ 2.01853561  1.41244682 -1.62880484 -2.64276314 -0.35964799  1.53683726
  2.15966924  3.43976148 -1.46329037 -2.06253974 -1.32328089  0.1255421
  0.45335575 -0.87194379  2.66737779  0.70232534 -1.56822125 -3.82933807
  0.16473506 -1.54199473  1.53634771 -0.60856684 -1.71288999  0.69398729
  2.51915868 -1.00864212  1.31945999 -1.76337655  2.52356625  0.85823941
  0.10245643  0.77075156]"
182,"[ 1.22531709  0.12145998 -0.25254174 -2.94409769 -0.08798325  3.15045062
  1.27733335  2.56760736 -0.73980461 -0.43388995 -0.98819022 -0.66082209
 -0.19964829 -2.0892008   1.08311749 -0.01813897  0.07268063 -2.49492628
 -0.73286516  0.23887626  1.07227846  0.85667454 -0.73162894 -0.42287029
  2.76813195  0.20405594  0.39756658 -1.6657401   0.97856574  2.16306027
  1.11503991 -0.62344668]"
183,"[ 1.56813789  3.34770688 -0.4951221   3.18569854  4.26974025 -2.89028931
  0.72967795 -2.77587266 -1.35168353  0.35233509 -4.16151428  3.60077968
 -2.79873334  3.80105406 -1.29788104  3.77721405 -0.08676064  2.39966999
  4.57934339  0.9408248   4.01313551 -0.44752699 -4.17540302  1.88766445
 -1.7584899  -4.07686684  1.3871705  -1.16412238 -1.42709986 -1.82723016
 -4.42828415  0.39508756]"
184,"[ 2.03180827  1.30522687 -1.51269631 -2.73933411 -0.30893094  1.67644152
  2.16642711  3.476187   -1.48248722 -1.95962624 -1.35741085  0.03347383
  0.34711796 -1.00225905  2.5614833   0.68334501 -1.46000141 -3.74974259
  0.07509363 -1.41254624  1.56585743 -0.47734418 -1.6747133   0.57995145
  2.61904542 -0.92871591  1.28464243 -1.84898426  2.46605666  0.99412595
  0.14252823  0.72331387]"
185,"[-2.25201211 -1.70667993  1.5292177  -0.51085337  0.46032468  3.58213955
 -1.89391997 -1.36317555  2.31407389  2.23979913  0.67036275 -1.83471252
 -0.61685232 -2.99639167 -1.5364806  -2.60407201  2.55946778  0.77742679
 -1.97325246  2.33625719 -0.86167675  2.34776678  2.10528471 -1.76158477
  0.39874016  2.62041213 -2.10669187  1.12682994 -2.32937548  2.78755728
  2.55289887 -2.89912359]"
186,"[-2.03802038  0.1369527  -0.42198043 -0.35754193 -1.56404651  2.55125286
 -1.53896657 -1.24271478  2.13362644  0.603925    2.00185027  0.21963082
  1.79333878 -0.67344369  0.43349577 -1.86877032  0.64434525 -1.16701232
 -0.27369568  0.28324569 -2.14379205 -0.051142    1.03279658  0.50878405
 -0.58103155  0.93047757 -1.08003044  1.79799779 -1.33054945  0.49872833
  3.37124266 -3.24572669]"
187,"[-1.97718201 -1.22660336  1.01494904 -0.83616587 -0.07752024  3.66775072
 -1.60859578 -1.07417365  2.06951074  1.81287689  1.0805976  -1.32669771
 -0.04091846 -2.48063168 -1.01568298 -2.27430047  2.07920956  0.25842024
 -1.55919393  1.83283556 -1.19041121  1.75249413  1.69772424 -1.187102
  0.40891927  2.16385295 -1.71994561  0.98376753 -1.92968767  2.27592146
  2.9981469  -3.20526903]"
188,"[-1.91891396 -0.30364832  0.03508366 -0.71668923 -1.09266114  3.12962055
 -1.46288764 -1.04914129  2.0190587   1.00119698  1.75524199 -0.30351424
  1.17261147 -1.30837035 -0.02871487 -1.92949343  1.12192225 -0.71121866
 -0.71866357  0.80406225 -1.84494603  0.55209124  1.19203436 -0.05106473
 -0.11854355  1.31920373 -1.21980202  1.36219108 -1.46111941  1.12773764
  3.41137123 -3.37783432]"
189,"[ 3.74404675  4.03215458 -3.39738166  0.46820802  1.6337957  -2.73102089
  3.8372063   1.95677135 -3.57490274 -3.52172354 -2.94695149  2.06060642
 -0.76570105  1.64403468  2.67000314  1.98115423 -3.67567709 -1.95989095
  2.55506416 -3.43130128  3.85644233 -3.0837064  -2.6055064   2.86598272
  0.90459102 -2.91784071  3.81155628 -2.84789044  3.25402567 -2.49085932
 -2.76590248  3.88941956]"
190,"[ 2.06088212  3.60057674 -1.04610645  2.86127472  3.98479372 -3.04255317
  1.35352011 -2.06724189 -1.83412283 -0.32991148 -4.09093161  3.46977728
 -2.56146061  3.54895064 -0.66074938  3.54180011 -0.76491625  1.77551539
  4.38040341  0.16857719  4.15689625 -0.98338834 -4.00890081  2.17180813
 -1.36459597 -3.98001951  1.94086546 -1.54682395 -0.64876063 -2.08022623
 -4.28761022  1.13171667]"
191,"[-2.14403048  1.25851284 -1.54049249  0.54327973 -2.62261027  0.95124826
 -1.56398114 -1.5813994   2.2076116  -0.47098888  2.45525152  1.47300651
  3.18879284  0.95662264  1.56656231 -1.54077166 -0.6166765  -2.21402342
  0.86158354 -1.08295406 -2.69800203 -1.55243215  0.55717273  1.85426677
 -1.63665147 -0.14688776 -0.62631325  2.71049101 -0.85776797 -1.11091111
  2.99990775 -2.66378888]"
192,"[ 3.76315349  4.11839913 -3.34768347  0.66253471  1.80751594 -2.86858038
  3.81938213  1.72278595 -3.5882523  -3.42506945 -3.06322603  2.19038164
 -0.88038862  1.78297816  2.5059068   2.05005666 -3.61140194 -1.72913825
  2.70436839 -3.3168269   3.97788135 -3.07065665 -2.6780078   2.9341177
  0.7683089  -3.00050725  3.8641176  -2.86489786  3.08567006 -2.60304838
 -2.8931194   3.89421741]"
193,"[-0.83500507 -0.96206916  0.81088725 -1.65037606  0.09493652  3.61684903
 -0.5989399   0.24699458  1.07790713  1.22090288  0.13228012 -1.26666511
 -0.31804048 -2.639083   -0.47560024 -1.55244324  1.59432047 -0.59264786
 -1.43932056  1.52822442 -0.17548987  1.75189747  0.92475137 -1.16452529
  1.40878833  1.64848466 -1.05842365 -0.02228296 -1.0597633   2.54553778
  2.21330365 -2.18539203]"
194,"[ 1.5634861  -0.61679035  0.64395201 -1.68717301  1.49255776  2.04696751
  1.6891768   3.00217247 -1.5295347   0.2550253  -2.61877823 -1.6859926
 -1.86770332 -2.7602756  -0.21051842  0.11344057  0.41464412 -0.9425019
 -1.25123668  0.99103934  2.7180829   2.17908549  0.15568499 -1.72109103
  3.80784273  0.66156882  0.74385321 -2.62524056  0.711321    3.12816525
 -0.92506057  1.21383786]"
195,"[ 2.87492001  3.96337005 -2.03493414  2.15585179  3.29395196 -3.18357628
  2.44071764 -0.68740303 -2.65033057 -1.58762261 -3.81761342  3.11519204
 -2.00918911  2.98434867  0.55059673  3.01882073 -1.98018092  0.53427278
  3.88010776 -1.25492465  4.26097402 -1.9234725  -3.5876391   2.62084739
 -0.59483368 -3.70215484  2.87318642 -2.18136523  0.80616114 -2.46453365
 -3.8880913   2.39324927]"
196,"[-0.77711512 -0.3961331   0.19402879 -1.81581001 -0.61118482  3.57490285
 -0.52678312  0.23436941  1.08663305  0.74322758  0.78323294 -0.62161109
  0.48403387 -1.93479207  0.12270349 -1.34200719  1.0675485  -1.17168032
 -0.93802961  0.91445522 -0.77384796  0.9526001   0.54901861 -0.42048321
  1.07684072  1.18020198 -0.80868791  0.1811635  -0.74429893  1.7993782
  2.80984141 -2.65122604]"
197,"[ 2.97856267  2.80009545 -2.89908939 -1.11405034  0.47886838 -0.99144734
  3.27203136  3.45270899 -2.64391115 -3.41378276 -2.18610191  0.91468302
  0.06715733  0.47473261  3.35763486  1.44607205 -3.17668639 -3.53620762
  1.31981383 -3.16754956  2.71744008 -2.08899244 -2.26050335  1.75834635
  1.89529313 -2.08868641  2.65489748 -2.26104736  3.64019648 -0.88990943
 -1.73598364  2.85571056]"
